year,smallpox deaths per 1000 deaths
1800,76
1801,82
1802,62
1803,39
1804,97
1805,65
1806,71
1807,61
1808,71
1809,61
1810,45
1811,71
1812,53
1813,35
1814,38
1815,32
1816,54
1817,23
1818,38
1819,42
1820,30
1821,33
1822,40
1823,37
1824,63
1825,25
1826,29
1827,29
1828,34
1829,30
1830,22
1841,25
1842,9
1843,11
1844,37
1845,20
1846,7
1847,17
1848,29
1849,10
1850,12
1851,22
1852,25
1853,4
1854,11
1855,20
1856,11
1857,4
1858,7
1859,19
1860,15
1861,6
1862,8
1863,31
1864,9
1865,12
1866,20
1867,21
1868,12
1869,9
1870,100
1871,27
1872,5
1873,5
1874,14
1875,13
1876,37
1877,19
1878,9
1879,9
1880,33
1881,9
1882,3
1883,18
1884,15
1885,2
1886,5
1887,5
1888,5
1889,2
1890,2
1891,0
1892,4
1893,4
1894,3
1895,2
1896,0
1897,2
1898,2
1899,0
